TTOO,CREATED_SUNDAY,CREATED_SUNDAY_CANCEL_1_HOUR,CREATED_SUNDAY_CANCEL_24_HOUR,CREATED_MONDAY,CREATED_MONDAY_CANCEL_1_HOUR,CREATED_MONDAY_CANCEL_24_HOUR,CREATED_TUESDAY,CREATED_TUEDAY_CANCEL_1_HOUR,CREATED_TUSDAY_CANCEL_24_HOUR,CREATED_WEDNESDAY,CREATED_WEDNES_CANCEL_1_HOUR,CREATED_WEDNES_CANCEL_24_HOUR,CREATED_THURSDAY,CREATED_THURSDAY_CANCEL_1_HOUR,CREATED_THURS_CANCEL_24_HOUR,CREATED_FRIDAY,CREATED_FRIDAY_CANCEL_1_HOUR,CREATED_FRIDAY_CANCEL_24_HOUR,CREATED_SATURDAY,CREATED_SATURDAY_CANCEL_1_HOUR,CREATED_SATUR_CANCEL_24_HOUR
730,28,0,0,90,25,27,48,0,1,51,1,2,59,7,7,64,8,8,64,1,2
759,3,1,1,2,0,0,2,0,0,2,0,0,4,0,0,0,0,0,3,0,0
768,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,2,1,1,0,0,0
860,2,0,0,10,1,1,8,0,0,13,0,0,5,0,0,8,0,0,1,0,0
882,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
892,3,0,0,6,0,1,2,0,1,3,0,0,7,0,0,5,0,0,0,0,0
902,5,0,0,37,0,4,23,0,1,42,5,6,39,4,6,32,1,4,13,2,2
936,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
937,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
947,0,0,0,3,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0
989,6,0,2,16,0,0,15,1,1,14,2,3,23,2,2,33,1,2,4,0,0
998,0,0,0,4,0,1,4,0,0,7,0,0,0,0,0,3,0,0,4,0,0
1013,27,3,3,17,1,1,16,1,1,14,2,2,23,0,0,19,1,2,19,0,0
1068,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1089,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1105,0,0,0,1,0,0,1,0,0,2,0,0,4,0,0,2,0,0,1,0,0
1106,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1109,0,0,0,1,0,0,1,0,0,3,0,0,2,0,1,0,0,0,3,0,0
1120,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1146,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,4,0,0,1,0,0
1163,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1180,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0
1257,0,0,0,1,0,0,1,0,0,4,0,0,8,0,0,11,0,1,0,0,0
1258,0,0,0,5,0,1,0,0,0,1,0,0,3,0,1,2,0,1,0,0,0
1259,0,0,0,5,0,1,0,0,0,1,0,0,1,0,0,4,0,0,3,0,0
1262,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1278,4,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0
1300,5,0,0,35,0,5,32,1,3,28,2,2,6,0,0,10,1,2,5,1,2
1311,2,0,0,2,0,0,5,0,0,2,0,0,2,0,0,4,1,1,1,0,0
1333,0,0,0,1,0,0,1,0,0,2,0,0,2,0,0,2,0,0,0,0,0
1335,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0
1354,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1386,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,0,0,0,2,0,0,4,1,1,2,0,0,1,0,0,0,0,0,0,0,0
1417,5,0,0,1,0,0,0,0,0,2,0,0,2,2,2,0,0,0,0,0,0
1420,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1431,17,0,0,0,0,0,0,0,0,5,0,0,4,0,0,1,0,0,3,0,0
1461,99,10,17,969,112,166,901,109,176,918,88,152,890,122,169,849,75,116,438,24,30
1462,0,0,0,5,1,1,0,0,0,1,0,0,1,0,0,1,0,0,3,0,0
1497,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1520,0,0,0,3,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0
1522,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0
1533,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1546,0,0,0,2,2,2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0
1581,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,3,0,0,1,0,0
1598,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1601,21,0,0,91,1,3,81,4,5,81,4,4,73,3,8,82,5,5,21,0,0
1606,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1627,4,0,0,39,2,2,41,4,5,56,0,1,35,4,5,64,3,6,37,1,1
1631,1,0,0,0,0,0,2,1,1,0,0,0,1,0,1,10,0,4,1,0,0
1642,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1664,2,0,0,55,1,4,46,2,3,30,2,4,47,2,3,29,1,1,1,0,0
1669,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
1675,0,0,0,4,0,0,8,1,1,2,0,0,4,0,0,11,0,0,0,0,0
1700,0,0,0,8,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1715,0,0,0,0,0,0,8,0,0,5,0,2,6,0,0,4,0,0,0,0,0
1725,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1778,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,1
1830,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1841,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0
1874,2,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1,0,0,0,0,0
1893,0,0,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1916,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,1,0,0,0,0,0
1927,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0
1933,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0
1940,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1983,1,0,0,2,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0
2000,0,0,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
2013,0,0,0,5,0,0,6,0,0,10,1,2,13,1,1,10,0,0,5,0,0
2016,1,0,0,15,0,2,21,2,2,16,1,3,14,0,1,22,2,3,6,0,0
2051,0,0,0,2,0,0,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0
2063,0,0,0,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,3,0,0
2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2106,1,1,1,12,8,8,6,2,2,4,3,3,14,5,5,4,1,1,0,0,0
2133,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2143,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0
2164,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2205,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2226,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2229,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0
2244,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2307,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2340,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2347,7,0,0,381,28,33,421,18,35,431,25,45,381,16,24,460,23,34,100,3,4
2351,3,0,0,26,0,1,10,0,1,10,1,1,13,2,3,22,1,1,12,0,0
2352,0,0,0,5,0,0,1,0,0,1,0,0,5,0,1,5,0,0,0,0,0
2353,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2360,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0
2374,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2387,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2399,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2402,26,0,0,17,0,0,13,0,0,15,0,0,14,0,0,19,0,0,26,0,0
2403,5,0,0,3,0,0,1,0,0,2,0,0,3,0,0,1,0,0,3,0,0
2404,6,0,0,6,0,0,5,0,0,3,0,0,6,0,0,5,0,1,7,0,0
2405,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0
2451,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2462,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2473,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2477,1,0,0,3,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0
2490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2516,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2524,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,5,0,0
2556,0,0,0,6,1,1,5,0,0,2,0,0,3,0,1,3,0,0,0,0,0
2562,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2583,1,0,0,2,0,0,3,0,1,1,0,0,0,0,0,2,0,0,0,0,0
2593,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2594,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2595,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
